Model,Combination,VidID,Set,CCC
MFT,AL,117_4,Valid,0.7238604614918397
MFT,AL,117_5,Valid,0.8058048369042816
MFT,AL,117_6,Valid,0.7102479432590681
MFT,AL,124_1,Valid,0.6007785002308591
MFT,AL,124_2,Valid,0.42465392828696436
MFT,AL,124_3,Valid,0.36459314543112475
MFT,AL,124_6,Valid,0.12249011501482512
MFT,AL,128_2,Valid,0.1413722456817127
MFT,AL,128_5,Valid,-0.05497506765541616
MFT,AL,128_6,Valid,-0.28531352415102806
MFT,AL,131_1,Valid,0.37539348812372275
MFT,AL,131_2,Valid,-0.013994424358669596
MFT,AL,131_3,Valid,0.6327941702365044
MFT,AL,131_5,Valid,0.9499311716887464
MFT,AL,131_6,Valid,0.630912596991455
MFT,AL,137_1,Valid,0.09395710268985565
MFT,AL,137_2,Valid,0.5767458972857574
MFT,AL,137_4,Valid,0.4636424947480009
MFT,AL,137_5,Valid,0.18673327113404126
MFT,AL,137_6,Valid,0.6124272075335488
MFT,AL,149_3,Valid,0.18382693216310592
MFT,AL,149_6,Valid,0.7381852444053317
MFT,AL,170_2,Valid,0.0048966444543043
MFT,AL,170_7,Valid,-0.04528649858521295
MFT,AL,173_1,Valid,-0.03247587161546808
MFT,AL,173_3,Valid,0.7537183548258458
MFT,AL,173_4,Valid,0.18648259079582513
MFT,AL,173_6,Valid,0.3401668790426966
MFT,AL,181_1,Valid,0.07610665900248041
MFT,AL,181_2,Valid,0.595720245238312
MFT,AL,181_3,Valid,0.3610375973893067
MFT,AL,181_4,Valid,0.7478704720081492
MFT,AL,181_6,Valid,0.02371086512735263
MFT,AL,112_1,Test,0.4355457619536497
MFT,AL,112_2,Test,0.5104567789747975
MFT,AL,112_3,Test,-0.5514740632816202
MFT,AL,116_1,Test,-0.5070119930890441
MFT,AL,116_2,Test,0.878130504914972
MFT,AL,116_3,Test,0.12695634449200138
MFT,AL,116_4,Test,0.9544629625006954
MFT,AL,116_5,Test,0.2902696611157336
MFT,AL,116_6,Test,0.08787618842594877
MFT,AL,123_1,Test,0.03483849612708947
MFT,AL,123_2,Test,0.0441393628372202
MFT,AL,123_3,Test,-0.009211533848830182
MFT,AL,123_4,Test,0.5329126404334052
MFT,AL,123_5,Test,0.8359549727335138
MFT,AL,127_2,Test,0.5561051105773701
MFT,AL,127_3,Test,0.3070011084675257
MFT,AL,127_4,Test,0.14751682997035578
MFT,AL,127_5,Test,0.21658257109346307
MFT,AL,127_6,Test,0.84687825804844
MFT,AL,134_1,Test,0.04040542565458835
MFT,AL,134_3,Test,-0.0788225565733811
MFT,AL,145_1,Test,0.31025019606713433
MFT,AL,145_2,Test,0.44404828844955546
MFT,AL,145_3,Test,0.28394088853148264
MFT,AL,145_4,Test,0.8733228579825346
MFT,AL,154_1,Test,0.3779995114163249
MFT,AL,154_4,Test,0.39090090843938957
MFT,AL,154_6,Test,0.550218076878204
MFT,AL,161_1,Test,0.20420481560145837
MFT,AL,161_3,Test,0.17732896704664244
MFT,AL,161_4,Test,0.4766761182617508
MFT,AL,165_1,Test,0.07438931171557059
MFT,AL,165_2,Test,0.8558419440660776
MFT,AL,165_3,Test,0.1368889555630425
MFT,AL,165_4,Test,0.6318351960555503
MFT,AL,165_5,Test,0.04393292267532038
MFT,AL,165_6,Test,0.4851433004521744
MFT,AL,165_7,Test,0.2125778527303764
MFT,AL,168_1,Test,0.8313949200329566
MFT,AV,111_1,Train,0.9667356798996973
MFT,AV,111_3,Train,0.659739710975623
MFT,AV,111_4,Train,0.7689926358134429
MFT,AV,113_2,Train,0.551605097905808
MFT,AV,113_3,Train,-0.04467358629418872
MFT,AV,113_4,Train,0.21615049106869802
MFT,AV,113_5,Train,0.7054293556774452
MFT,AV,113_6,Train,-0.07634041254874256
MFT,AV,114_1,Train,0.47019292509446725
MFT,AV,114_4,Train,0.6016964311944811
MFT,AV,114_5,Train,0.939132967079713
MFT,AV,114_6,Train,0.9389914473936818
MFT,AV,118_1,Train,0.3855315881264322
MFT,AV,118_3,Train,0.04710243583983424
MFT,AV,118_4,Train,0.7115589621480016
MFT,AV,118_5,Train,0.6806421907077773
MFT,AV,118_6,Train,0.848731738866094
MFT,AV,119_2,Train,0.1872667018843257
MFT,AV,119_4,Train,0.11242089173687451
MFT,AV,119_6,Train,0.5215240072146268
MFT,AV,120_1,Train,0.7130740704610985
MFT,AV,120_2,Train,0.6340607811255194
MFT,AV,120_3,Train,0.929602881092496
MFT,AV,120_4,Train,0.23125732223391843
MFT,AV,121_1,Train,0.5079942548962542
MFT,AV,121_3,Train,0.03325836569488725
MFT,AV,121_5,Train,0.10092053566869376
MFT,AV,121_6,Train,0.619550989893403
MFT,AV,129_1,Train,0.4130757399904519
MFT,AV,129_2,Train,0.7870713336326117
MFT,AV,129_3,Train,0.9268049277213736
MFT,AV,129_4,Train,0.29508448980167123
MFT,AV,129_5,Train,0.6624820055918441
MFT,AV,129_6,Train,0.5477144325010238
MFT,AV,129_7,Train,0.356079310375787
MFT,AV,130_1,Train,0.5650708234898041
MFT,AV,130_2,Train,0.43857876195886536
MFT,AV,130_4,Train,0.9151878139749524
MFT,AV,130_6,Train,0.25925332018297625
MFT,AV,135_3,Train,0.8795386163632988
MFT,AV,141_1,Train,0.6811396135110039
MFT,AV,141_6,Train,0.06326685643153827
MFT,AV,142_1,Train,0.3307651552987508
MFT,AV,142_2,Train,0.333846081537113
MFT,AV,142_3,Train,-0.02869847773029144
MFT,AV,143_3,Train,0.6467632985298454
MFT,AV,143_5,Train,0.48532161931185624
MFT,AV,144_1,Train,0.7803459334147194
MFT,AV,144_3,Train,0.6524231851908739
MFT,AV,147_1,Train,0.22409639173533416
MFT,AV,147_2,Train,0.01587284159072821
MFT,AV,147_3,Train,-0.07972563870413449
MFT,AV,147_4,Train,0.7427648941016062
MFT,AV,147_5,Train,0.613284506605049
MFT,AV,151_2,Train,0.39776765579083234
MFT,AV,151_6,Train,0.006769935264190082
MFT,AV,153_1,Train,0.3074228589952871
MFT,AV,153_2,Train,0.051746458497594856
MFT,AV,153_3,Train,0.3325308100850014
MFT,AV,153_4,Train,0.4985812966871834
MFT,AV,153_5,Train,0.3736214116816051
MFT,AV,153_6,Train,0.03440132766519691
MFT,AV,156_1,Train,0.7239520300780429
MFT,AV,156_2,Train,0.6575418317806139
MFT,AV,156_3,Train,-0.09949789375400102
MFT,AV,156_6,Train,0.36705842918903736
MFT,AV,162_2,Train,0.6716729818264842
MFT,AV,162_3,Train,0.4796283904240055
MFT,AV,162_4,Train,0.21858256330001932
MFT,AV,162_5,Train,0.594955942678018
MFT,AV,162_6,Train,-0.06272413917132424
MFT,AV,163_1,Train,0.37230750272665797
MFT,AV,163_2,Train,0.9264928829136354
MFT,AV,163_5,Train,0.8655042752973447
MFT,AV,164_3,Train,0.8878153604827231
MFT,AV,164_4,Train,0.031694557815491194
MFT,AV,164_5,Train,0.10148748745883542
MFT,AV,167_1,Train,0.43541250748506977
MFT,AV,167_2,Train,0.12628799147974346
MFT,AV,169_2,Train,0.8693386417781543
MFT,AV,169_4,Train,0.3324177245170709
MFT,AV,171_1,Train,0.6859672773482927
MFT,AV,171_2,Train,0.7645749001354606
MFT,AV,171_3,Train,0.5276549402277421
MFT,AV,171_4,Train,0.9438828459254441
MFT,AV,171_5,Train,0.7093348780707075
MFT,AV,171_6,Train,0.8726702549241299
MFT,AV,172_1,Train,0.877392870972649
MFT,AV,172_2,Train,0.8300858169719518
MFT,AV,172_3,Train,0.7911288358687252
MFT,AV,172_4,Train,0.9522054725938267
MFT,AV,172_5,Train,0.7879680190361797
MFT,AV,174_1,Train,0.5278892321092569
MFT,AV,174_2,Train,0.08482105072392529
MFT,AV,174_3,Train,0.5273187394966535
MFT,AV,174_5,Train,0.44242083450380176
MFT,AV,174_6,Train,0.14995885488589075
MFT,AV,174_7,Train,0.6448690446199072
MFT,AV,178_1,Train,-0.06366476395127475
MFT,AV,178_2,Train,0.7044664402477021
MFT,AV,178_4,Train,0.9013948534479092
MFT,AV,178_5,Train,0.8410534788634156
MFT,AV,178_6,Train,0.5852601069657275
MFT,AV,179_1,Train,0.7667289065597209
MFT,AV,179_3,Train,0.8558048552787422
MFT,AV,179_4,Train,0.726611991881691
MFT,AV,179_5,Train,0.6472763040553373
MFT,AV,179_6,Train,0.5407555264331649
MFT,AV,180_1,Train,0.18865055016462282
MFT,AV,180_2,Train,0.19927094885482416
MFT,AV,180_3,Train,0.7438731538503938
MFT,AV,180_4,Train,0.04692250701292706
MFT,AV,180_5,Train,0.281060228671297
MFT,AV,180_6,Train,0.26656852307371043
MFT,AV,115_2,Valid,0.02323871064945764
MFT,AV,115_3,Valid,0.03174235516513728
MFT,AV,115_5,Valid,0.16306646730789423
MFT,AV,115_6,Valid,-0.01959064974395549
MFT,AV,117_1,Valid,-0.013104164182892262
MFT,AV,117_2,Valid,-0.013492163045027988
MFT,AV,117_3,Valid,-0.02806968638318814
MFT,AV,117_4,Valid,0.02864008838699842
MFT,AV,117_5,Valid,0.16178190601789402
MFT,AV,117_6,Valid,0.004175806489707084
MFT,AV,124_1,Valid,0.10352456471989308
MFT,AV,124_2,Valid,0.0007834966246377136
MFT,AV,124_3,Valid,-0.03635986193824918
MFT,AV,124_6,Valid,-0.12410757263236828
MFT,AV,128_2,Valid,0.3254087249184712
MFT,AV,128_5,Valid,-0.0011824281598168994
MFT,AV,128_6,Valid,-0.12600547040465618
MFT,AV,131_1,Valid,0.008193447605720097
MFT,AV,131_2,Valid,-0.0823722099386392
MFT,AV,131_3,Valid,-0.004724412346050896
MFT,AV,131_5,Valid,-0.0064908825692396345
MFT,AV,131_6,Valid,0.01570182789678645
MFT,AV,137_1,Valid,-0.008985944196635278
MFT,AV,137_2,Valid,0.003342073373645831
MFT,AV,137_4,Valid,0.31428973364360957
MFT,AV,137_5,Valid,0.0781151590919584
MFT,AV,137_6,Valid,-0.00849627565310455
MFT,AV,149_3,Valid,0.1067292573870986
MFT,AV,149_6,Valid,-0.042487924930771304
MFT,AV,170_2,Valid,0.0365830199573867
MFT,AV,170_7,Valid,-0.019167562801469994
MFT,AV,173_1,Valid,-0.02788563302654132
MFT,AV,173_3,Valid,-0.060933182208752865
