Model,Combination,VidID,Set,CCC
B1-LSTM,A,179_6,Train,0.8803892853473254
B1-LSTM,A,180_1,Train,0.8608981533954804
B1-LSTM,A,180_2,Train,0.7370862973917996
B1-LSTM,A,180_3,Train,0.792534481908388
B1-LSTM,A,180_4,Train,0.1527269686159844
B1-LSTM,A,180_5,Train,0.12495473062154935
B1-LSTM,A,180_6,Train,0.35148857220567764
B1-LSTM,A,115_2,Valid,0.28933816163111475
B1-LSTM,A,115_3,Valid,0.018121207767741516
B1-LSTM,A,115_5,Valid,-0.6749860152805295
B1-LSTM,A,115_6,Valid,0.3823052999925529
B1-LSTM,A,117_1,Valid,-0.08167275298784898
B1-LSTM,A,117_2,Valid,0.6459686463657247
B1-LSTM,A,117_3,Valid,0.2485257438501689
B1-LSTM,A,117_4,Valid,0.6602735380381457
B1-LSTM,A,117_5,Valid,0.42640490971355877
B1-LSTM,A,117_6,Valid,-0.19061825351710385
B1-LSTM,A,124_1,Valid,0.30864020802140457
B1-LSTM,A,124_2,Valid,-0.4387957410932985
B1-LSTM,A,124_3,Valid,-0.0808694972882555
B1-LSTM,A,124_6,Valid,0.05746811735138425
B1-LSTM,A,128_2,Valid,-0.11317627156168161
B1-LSTM,A,128_5,Valid,-0.22140323703283166
B1-LSTM,A,128_6,Valid,0.09506724384461301
B1-LSTM,A,131_1,Valid,0.04573470696738725
B1-LSTM,A,131_2,Valid,0.5169406646825442
B1-LSTM,A,131_3,Valid,-0.08116887336540406
B1-LSTM,A,131_5,Valid,0.8377696231356037
B1-LSTM,A,131_6,Valid,-0.08408742707342667
B1-LSTM,A,137_1,Valid,0.021925000819088145
B1-LSTM,A,137_2,Valid,0.8366095121079601
B1-LSTM,A,137_4,Valid,0.23050335231186617
B1-LSTM,A,137_5,Valid,0.046541949197099614
B1-LSTM,A,137_6,Valid,-0.11729935244109982
B1-LSTM,A,149_3,Valid,0.34785006778861277
B1-LSTM,A,149_6,Valid,-0.02994140544115607
B1-LSTM,A,170_2,Valid,0.8978324890397957
B1-LSTM,A,170_7,Valid,-0.04993123825167207
