Model,Combination,VidID,Set,CCC
B3-MFN,AL,179_6,Train,0.9539183232899259
B3-MFN,AL,180_1,Train,0.8745657785378697
B3-MFN,AL,180_2,Train,0.9558622925099654
B3-MFN,AL,180_3,Train,0.9609502135862353
B3-MFN,AL,180_4,Train,0.9198930529395882
B3-MFN,AL,180_5,Train,0.916377272451796
B3-MFN,AL,180_6,Train,0.9332199200060561
B3-MFN,AL,115_2,Valid,-0.03615879751157255
B3-MFN,AL,115_3,Valid,0.10600137512912054
B3-MFN,AL,115_5,Valid,0.012145984917855972
B3-MFN,AL,115_6,Valid,0.46651784601025037
B3-MFN,AL,117_1,Valid,0.5028806644120905
B3-MFN,AL,117_2,Valid,0.889074157022151
B3-MFN,AL,117_3,Valid,0.6314570856690703
B3-MFN,AL,117_4,Valid,0.5453754239306666
B3-MFN,AL,117_5,Valid,0.20797272464016828
B3-MFN,AL,117_6,Valid,0.4689384314539419
B3-MFN,AL,124_1,Valid,0.5579802913315751
B3-MFN,AL,124_2,Valid,0.7424170799890142
B3-MFN,AL,124_3,Valid,0.6184934136197541
B3-MFN,AL,124_6,Valid,0.4457897339254535
B3-MFN,AL,128_2,Valid,-0.0613406300109676
B3-MFN,AL,128_5,Valid,0.43126186801219196
B3-MFN,AL,128_6,Valid,0.4663819732090896
B3-MFN,AL,131_1,Valid,0.34696304840997205
B3-MFN,AL,131_2,Valid,-0.04682806364359741
B3-MFN,AL,131_3,Valid,0.5676118863283068
B3-MFN,AL,131_5,Valid,0.850808799868276
B3-MFN,AL,131_6,Valid,0.01828066485036759
B3-MFN,AL,137_1,Valid,0.0017435430307445052
B3-MFN,AL,137_2,Valid,0.5411249313203089
B3-MFN,AL,137_4,Valid,0.41213756376750815
B3-MFN,AL,137_5,Valid,0.29287823215462094
B3-MFN,AL,137_6,Valid,0.3235743591489548
B3-MFN,AL,149_3,Valid,0.1766138971685135
B3-MFN,AL,149_6,Valid,0.6412081700889988
B3-MFN,AL,170_2,Valid,-0.06110517383584131
B3-MFN,AL,170_7,Valid,0.05835169025272258
B3-MFN,AL,173_1,Valid,-0.00634388782314952
B3-MFN,AL,173_3,Valid,0.43823261956424775
B3-MFN,AL,173_4,Valid,0.7851374375021576
B3-MFN,AL,173_6,Valid,-0.10480751350035504
B3-MFN,AL,181_1,Valid,0.6163235986943154
B3-MFN,AL,181_2,Valid,0.7092264487517379
B3-MFN,AL,181_3,Valid,0.5023556798582908
B3-MFN,AL,181_4,Valid,0.8073477216745429
B3-MFN,AL,181_6,Valid,-0.07436000091267794
B3-MFN,AL,112_1,Test,0.27068157602500564
B3-MFN,AL,112_2,Test,0.7838742128734384
B3-MFN,AL,112_3,Test,-0.521803937921772
B3-MFN,AL,116_1,Test,-0.09799544299140865
B3-MFN,AL,116_2,Test,0.5683060199495431
B3-MFN,AL,116_3,Test,0.044934563448456956
B3-MFN,AL,116_4,Test,0.23346371163974378
B3-MFN,AL,116_5,Test,0.7023481931297798
B3-MFN,AL,116_6,Test,0.21249931181409748
B3-MFN,AL,123_1,Test,0.5048600150699635
B3-MFN,AL,123_2,Test,0.2008454810716847
B3-MFN,AL,123_3,Test,0.03321893396383782
B3-MFN,AL,123_4,Test,-0.08572612462911718
B3-MFN,AL,123_5,Test,0.5016669890321296
B3-MFN,AL,127_2,Test,0.607896410451335
B3-MFN,AL,127_3,Test,0.32975888173743934
B3-MFN,AL,127_4,Test,0.22231716902254675
B3-MFN,AL,127_5,Test,0.27511372456405114
B3-MFN,AL,127_6,Test,0.6217590540322543
B3-MFN,AL,134_1,Test,-0.04620905384968491
B3-MFN,AL,134_3,Test,-0.10058193357484758
B3-MFN,AL,145_1,Test,0.4352980963482427
B3-MFN,AL,145_2,Test,0.7028154927088056
B3-MFN,AL,145_3,Test,0.3280637869447876
B3-MFN,AL,145_4,Test,0.29574339026849633
B3-MFN,AL,154_1,Test,0.7816404403803668
B3-MFN,AL,154_4,Test,0.5550850316255299
B3-MFN,AL,154_6,Test,0.49157967180931
B3-MFN,AL,161_1,Test,0.2127039406051472
B3-MFN,AL,161_3,Test,0.31316994609655385
B3-MFN,AL,161_4,Test,0.18515761882871776
B3-MFN,AL,165_1,Test,0.03011799625885853
B3-MFN,AL,165_2,Test,0.35027605766601333
B3-MFN,AL,165_3,Test,0.701627438200494
B3-MFN,AL,165_4,Test,0.8820160302325624
B3-MFN,AL,165_5,Test,-0.1465303968412147
B3-MFN,AL,165_6,Test,0.3891783491889267
B3-MFN,AL,165_7,Test,0.2519550454700128
B3-MFN,AL,168_1,Test,0.6739955567003106
B3-MFN,AV,111_1,Train,0.9374767485488544
B3-MFN,AV,111_3,Train,0.46472966368806584
B3-MFN,AV,111_4,Train,0.5105115413502346
B3-MFN,AV,113_2,Train,0.5507726848269661
B3-MFN,AV,113_3,Train,0.5116034319515927
B3-MFN,AV,113_4,Train,0.743641152090989
B3-MFN,AV,113_5,Train,0.7340379569027728
B3-MFN,AV,113_6,Train,-0.10911695876100228
B3-MFN,AV,114_1,Train,0.7574340692817001
B3-MFN,AV,114_4,Train,0.28900303292651736
B3-MFN,AV,114_5,Train,0.9540144042836544
B3-MFN,AV,114_6,Train,0.9671694832960918
B3-MFN,AV,118_1,Train,0.5353411963560915
B3-MFN,AV,118_3,Train,0.7343570190754274
B3-MFN,AV,118_4,Train,0.7537525134391886
B3-MFN,AV,118_5,Train,0.6557622671253631
B3-MFN,AV,118_6,Train,0.7871737201731097
B3-MFN,AV,119_2,Train,-0.24514159736573013
B3-MFN,AV,119_4,Train,-0.37584414792605764
B3-MFN,AV,119_6,Train,0.11399904167883597
B3-MFN,AV,120_1,Train,0.17608987254062866
B3-MFN,AV,120_2,Train,0.4996922069625379
B3-MFN,AV,120_3,Train,0.8382229342269333
B3-MFN,AV,120_4,Train,0.531647316482123
B3-MFN,AV,121_1,Train,0.6058421038882159
B3-MFN,AV,121_3,Train,0.7587299231407532
B3-MFN,AV,121_5,Train,0.13814538685955127
B3-MFN,AV,121_6,Train,0.38586485036022505
B3-MFN,AV,129_1,Train,0.5116203371853407
B3-MFN,AV,129_2,Train,0.8526281273761263
B3-MFN,AV,129_3,Train,0.875848294806698
B3-MFN,AV,129_4,Train,0.8819566188799979
B3-MFN,AV,129_5,Train,0.9546256823998853
B3-MFN,AV,129_6,Train,0.9522417865596478
B3-MFN,AV,129_7,Train,0.5117573430246353
B3-MFN,AV,130_1,Train,0.4264461399034096
B3-MFN,AV,130_2,Train,0.703413379588865
B3-MFN,AV,130_4,Train,0.8909597375059881
B3-MFN,AV,130_6,Train,-0.2033183215458193
B3-MFN,AV,135_3,Train,0.9416102288115752
B3-MFN,AV,141_1,Train,0.28489087800249085
B3-MFN,AV,141_6,Train,0.3919692519855029
B3-MFN,AV,142_1,Train,0.7846553765715492
B3-MFN,AV,142_2,Train,-0.07803307459803942
B3-MFN,AV,142_3,Train,-0.24530388279768595
B3-MFN,AV,143_3,Train,0.7560626217350378
B3-MFN,AV,143_5,Train,0.8379470391433673
B3-MFN,AV,144_1,Train,0.5825993545229134
B3-MFN,AV,144_3,Train,0.2641378303372194
B3-MFN,AV,147_1,Train,0.17010837472214632
B3-MFN,AV,147_2,Train,0.8782234321853993
B3-MFN,AV,147_3,Train,0.32911812251715084
B3-MFN,AV,147_4,Train,0.5540401198448384
B3-MFN,AV,147_5,Train,0.7867988865181172
B3-MFN,AV,151_2,Train,-0.028132689313665894
B3-MFN,AV,151_6,Train,0.15066926237821596
B3-MFN,AV,153_1,Train,0.11415100721585077
B3-MFN,AV,153_2,Train,0.008509516048678735
B3-MFN,AV,153_3,Train,0.46387021277190266
B3-MFN,AV,153_4,Train,0.7672747266288257
B3-MFN,AV,153_5,Train,0.23529560746140088
B3-MFN,AV,153_6,Train,-0.06052590627516597
B3-MFN,AV,156_1,Train,0.34800116325373415
B3-MFN,AV,156_2,Train,0.5005058455389924
B3-MFN,AV,156_3,Train,-0.05912731408565541
B3-MFN,AV,156_6,Train,0.31198143110386223
B3-MFN,AV,162_2,Train,0.8274721352205782
B3-MFN,AV,162_3,Train,-0.07829013025783613
B3-MFN,AV,162_4,Train,0.0446987559484926
B3-MFN,AV,162_5,Train,0.8131252011040051
B3-MFN,AV,162_6,Train,0.6899399561764922
B3-MFN,AV,163_1,Train,0.19392161479589226
B3-MFN,AV,163_2,Train,0.9155512213753514
B3-MFN,AV,163_5,Train,0.7057925483589212
B3-MFN,AV,164_3,Train,0.4494507967595504
B3-MFN,AV,164_4,Train,0.519371026982874
B3-MFN,AV,164_5,Train,0.46354172764752727
B3-MFN,AV,167_1,Train,0.9304412398540857
B3-MFN,AV,167_2,Train,0.7310093588210116
B3-MFN,AV,169_2,Train,0.5291502606377222
B3-MFN,AV,169_4,Train,0.5944720249699375
B3-MFN,AV,171_1,Train,0.9468508736930045
B3-MFN,AV,171_2,Train,0.5616746594331615
B3-MFN,AV,171_3,Train,0.31514290756659613
B3-MFN,AV,171_4,Train,0.9367628348372513
B3-MFN,AV,171_5,Train,0.32348179454960435
B3-MFN,AV,171_6,Train,0.814837461509364
B3-MFN,AV,172_1,Train,0.7444096403008573
B3-MFN,AV,172_2,Train,-0.3325405344658219
B3-MFN,AV,172_3,Train,0.3373621566141433
B3-MFN,AV,172_4,Train,0.8295010719982762
B3-MFN,AV,172_5,Train,0.5206210332303827
B3-MFN,AV,174_1,Train,0.2938315508447828
B3-MFN,AV,174_2,Train,0.08703717114359012
B3-MFN,AV,174_3,Train,0.3400337892793112
B3-MFN,AV,174_5,Train,0.3945407107482777
B3-MFN,AV,174_6,Train,-0.0666818300238316
B3-MFN,AV,174_7,Train,0.19995403699968417
B3-MFN,AV,178_1,Train,0.6613836421302138
B3-MFN,AV,178_2,Train,0.426813877563204
B3-MFN,AV,178_4,Train,0.9277532025623678
B3-MFN,AV,178_5,Train,0.5426884870362895
B3-MFN,AV,178_6,Train,-0.027047649397315233
B3-MFN,AV,179_1,Train,0.6752643798529931
B3-MFN,AV,179_3,Train,0.7227454148531758
B3-MFN,AV,179_4,Train,0.8830079488054637
B3-MFN,AV,179_5,Train,0.9021385985082933
B3-MFN,AV,179_6,Train,0.6271664530248676
B3-MFN,AV,180_1,Train,0.6963863610898384
B3-MFN,AV,180_2,Train,0.7923232436825881
B3-MFN,AV,180_3,Train,0.8905754474828177
B3-MFN,AV,180_4,Train,-0.0473849729168473
B3-MFN,AV,180_5,Train,0.4144331249261449
B3-MFN,AV,180_6,Train,0.16294133766791524
B3-MFN,AV,115_2,Valid,0.06708694110120389
B3-MFN,AV,115_3,Valid,0.07141414109334343
B3-MFN,AV,115_5,Valid,0.7090607707544255
B3-MFN,AV,115_6,Valid,0.09026483422164479
B3-MFN,AV,117_1,Valid,-0.06086450647521368
B3-MFN,AV,117_2,Valid,0.05512241306942311
B3-MFN,AV,117_3,Valid,0.2109364259122599
B3-MFN,AV,117_4,Valid,0.6125806279401175
B3-MFN,AV,117_5,Valid,0.7409154301577852
B3-MFN,AV,117_6,Valid,-0.19122223312718992
B3-MFN,AV,124_1,Valid,0.03401753287009978
B3-MFN,AV,124_2,Valid,-0.22659497912269422
B3-MFN,AV,124_3,Valid,0.4865380708427243
B3-MFN,AV,124_6,Valid,0.03704159007740287
B3-MFN,AV,128_2,Valid,-0.1655836217898492
B3-MFN,AV,128_5,Valid,0.5929963122244332
B3-MFN,AV,128_6,Valid,0.20770979304022863
B3-MFN,AV,131_1,Valid,0.05394263232252565
B3-MFN,AV,131_2,Valid,-0.05852115327257416
